group	x	y
not provided	0	0.0043
not provided	0	0.009300000000000001
not provided	0	0.0094
not provided	0	0.010700000000000001
not provided	0	0.0108
not provided	0	0.0129
not provided	0	0.016
not provided	0	0.0164
not provided	0	0.02
not provided	0	0.0223
not provided	0	0.0227
not provided	0	0.023200000000000002
not provided	0	0.024300000000000002
not provided	0	0.027800000000000002
not provided	0	0.044000000000000004
not provided	0	0.0442
not provided	0	0.0456
not provided	0	0.047
not provided	0	0.0478
not provided	0	0.047900000000000005
not provided	0	0.0509
not provided	0	0.0521
not provided	0	0.0523
not provided	0	0.0526
not provided	0	0.053500000000000006
not provided	0	0.0536
not provided	0	0.0543
not provided	0	0.0551
not provided	0	0.055200000000000006
not provided	0	0.0553
not provided	0	0.055400000000000005
not provided	0	0.0555
not provided	0	0.055600000000000004
not provided	0	0.0557
not provided	0	0.060000000000000005
not provided	0	0.0627
not provided	0	0.06330000000000001
not provided	0	0.0674
not provided	0	0.06860000000000001
not provided	0	0.0713
not provided	0	0.07640000000000001
not provided	0	0.0765
not provided	0	0.0767
not provided	0	0.07690000000000001
not provided	0	0.077
not provided	0	0.07740000000000001
not provided	0	0.0775
not provided	0	0.0786
not provided	0	0.0839
not provided	0	0.0854
not provided	0	0.08700000000000001
not provided	0	0.0892
not provided	0	0.0893
not provided	0	0.0937
not provided	0	0.09530000000000001
not provided	0	0.09630000000000001
not provided	0	0.0993
not provided	0	0.09970000000000001
not provided	0	0.1053
not provided	0	0.10540000000000001
not provided	0	0.1068
not provided	0	0.1076
not provided	0	0.1087
not provided	0	0.10880000000000001
not provided	0	0.11080000000000001
not provided	0	0.11470000000000001
not provided	0	0.1163
not provided	0	0.1164
not provided	0	0.1165
not provided	0	0.1168
not provided	0	0.11710000000000001
not provided	0	0.1177
not provided	0	0.1178
not provided	0	0.11810000000000001
not provided	0	0.1189
not provided	0	0.11900000000000001
not provided	0	0.1193
not provided	0	0.11950000000000001
not provided	0	0.11960000000000001
not provided	0	0.1199
not provided	0	0.12000000000000001
not provided	0	0.12010000000000001
not provided	0	0.1202
not provided	0	0.12040000000000001
not provided	0	0.12050000000000001
not provided	0	0.12150000000000001
not provided	0	0.1216
not provided	0	0.12200000000000001
not provided	0	0.1221
not provided	0	0.12240000000000001
not provided	0	0.12250000000000001
not provided	0	0.1226
not provided	0	0.1227
not provided	0	0.1231
not provided	0	0.1236
not provided	0	0.1241
not provided	0	0.1242
not provided	0	0.12610000000000002
not provided	0	0.1278
not provided	0	0.13
not provided	0	0.1305
not provided	0	0.13140000000000002
not provided	0	0.13190000000000002
not provided	0	0.132
not provided	0	0.1343
not provided	0	0.1348
not provided	0	0.1351
not provided	0	0.1355
not provided	0	0.1356
not provided	0	0.1381
not provided	0	0.1383
not provided	0	0.1386
not provided	0	0.1396
not provided	0	0.1403
not provided	0	0.1404
not provided	0	0.14300000000000002
not provided	0	0.1439
not provided	0	0.14400000000000002
not provided	0	0.1482
not provided	0	0.1486
not provided	0	0.1506
not provided	0	0.1507
not provided	0	0.1527
not provided	0	0.1537
not provided	0	0.15460000000000002
not provided	0	0.162
not provided	0	0.1623
not provided	0	0.16240000000000002
not provided	0	0.1625
not provided	0	0.1626
not provided	0	0.1636
not provided	0	0.1696
not provided	0	0.1701
not provided	0	0.1721
not provided	0	0.1734
not provided	0	0.1744
not provided	0	0.1778
not provided	0	0.1779
not provided	0	0.1784
not provided	0	0.1862
not provided	0	0.18630000000000002
not provided	0	0.1951
not provided	0	0.1952
not provided	0	0.1983
not provided	0	0.19870000000000002
not provided	0	0.1988
not provided	0	0.199
not provided	0	0.1991
not provided	0	0.19920000000000002
not provided	0	0.1993
not provided	0	0.19940000000000002
not provided	0	0.1995
not provided	0	0.1996
not provided	0	0.19970000000000002
not provided	0	0.1998
not provided	0	0.19990000000000002
not provided	0	0.2
not provided	0	0.201
not provided	0	0.2018
not provided	0	0.20420000000000002
not provided	0	0.21000000000000002
not provided	0	0.2101
not provided	0	0.21380000000000002
not provided	0	0.2162
not provided	0	0.21780000000000002
not provided	0	0.2179
not provided	0	0.21880000000000002
not provided	0	0.2189
not provided	0	0.21930000000000002
not provided	0	0.2205
not provided	0	0.22060000000000002
not provided	0	0.2214
not provided	0	0.22260000000000002
not provided	0	0.22510000000000002
not provided	0	0.2281
not provided	0	0.22840000000000002
not provided	0	0.23670000000000002
not provided	0	0.2369
not provided	0	0.24330000000000002
not provided	0	0.2434
not provided	0	0.2436
not provided	0	0.24480000000000002
not provided	0	0.2457
not provided	0	0.2508
not provided	0	0.2509
not provided	0	0.2515
not provided	0	0.2519
not provided	0	0.253
not provided	0	0.25570000000000004
not provided	0	0.2558
not provided	0	0.2566
not provided	0	0.25830000000000003
not provided	0	0.2586
not provided	0	0.2597
not provided	0	0.2626
not provided	0	0.26280000000000003
not provided	0	0.2629
not provided	0	0.26530000000000004
not provided	0	0.2661
not provided	0	0.2662
not provided	0	0.2665
not provided	0	0.26830000000000004
not provided	0	0.2691
not provided	0	0.2736
not provided	0	0.2737
not provided	0	0.28
not provided	0	0.2807
not provided	0	0.2808
not provided	0	0.2812
not provided	0	0.2813
not provided	0	0.2823
not provided	0	0.2838
not provided	0	0.2867
not provided	0	0.2872
not provided	0	0.29000000000000004
not provided	0	0.2949
not provided	0	0.2998
not provided	0	0.2999
not provided	0	0.3004
not provided	0	0.3035
not provided	0	0.30360000000000004
not provided	0	0.3047
not provided	0	0.3075
not provided	0	0.311
not provided	0	0.3111
not provided	0	0.3138
not provided	0	0.32480000000000003
not provided	0	0.3257
not provided	0	0.3297
not provided	0	0.32980000000000004
not provided	0	0.3315
not provided	0	0.33280000000000004
not provided	0	0.33290000000000003
not provided	0	0.33430000000000004
not provided	0	0.33440000000000003
not provided	0	0.3405
not provided	0	0.3406
not provided	0	0.34090000000000004
not provided	0	0.3412
not provided	0	0.34140000000000004
not provided	0	0.3415
